사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
201805,3호선,종로3가,46,0,821,1015,1436,6072,1810,14499,3126,51350,4844,53025,7399,37439,9834,30732,11801,29770,14009,29835,16077,28268,21559,26971,20384,22371,27014,22587,46378,24158,43835,16089,20755,7852,22271,5918,15802,4526,7320,3189,876,1119,1,23,0,0,0,0,20180603
201805,3호선,안국,34,1,2193,2152,3955,22589,7853,112146,11644,127705,13005,96711,15126,78504,26809,76174,39707,65238,48147,62234,59230,58228,69301,46571,83544,40164,105866,36585,145269,36092,69599,20410,53826,10334,54400,7831,34030,7148,10765,4662,1306,1480,0,0,0,0,0,0,20180603
201805,3호선,경복궁(정부서울청사),65,0,3357,1835,6887,15490,17250,52677,27002,142375,25919,101206,22771,72756,30191,63058,37715,57778,47271,58849,56624,51087,67099,44606,81327,39685,90895,42314,127940,47505,59801,35514,48214,17353,52128,14923,36838,14150,13877,8842,1953,2864,3,40,3,2,0,0,20180603
201805,3호선,독립문,137,4,5665,651,8180,6859,19701,18001,25085,22973,18337,24204,15887,22386,16152,15437,17597,14008,17971,15919,19067,15979,20039,15294,21814,16244,19725,18636,20146,20518,10808,18234,8088,12469,6738,11124,4883,10534,1624,7393,224,3624,1,1243,0,0,0,0,20180603
201805,3호선,무악재,24,1,2325,186,5793,2220,16734,3355,18901,6357,12009,4758,8289,4517,7481,4222,6937,4389,6486,5072,5396,5879,5322,6924,5474,8553,6988,10041,7264,14373,3967,14241,2896,9869,2463,9237,1741,9408,736,6556,108,1930,0,3,0,0,0,0,20180603
201805,3호선,홍제,58,4,10972,1692,27258,11117,73046,15122,84920,34583,55326,29451,38897,25962,35604,22831,36070,24565,34515,27235,31518,29083,32239,33654,35118,40019,37821,46229,39077,63247,22019,62414,17342,39824,14446,37957,11393,36686,5252,23909,718,6862,1,0,0,1,0,0,20180603
201805,3호선,녹번,39,2,8522,1924,21101,14621,58192,8587,66181,17726,40139,12989,25378,10084,21633,9477,21170,10877,19719,12550,17384,13474,16577,16730,19655,22154,24707,26424,21696,39756,11436,42147,7976,27550,6594,26230,4932,25498,2261,16908,272,4969,1,0,1,0,0,0,20180603
201805,3호선,불광,27,1,11632,1610,24358,8787,65962,12578,77927,37020,46118,40292,32892,32965,30224,30498,30841,32672,34005,38404,32097,36303,33593,38428,37051,44002,38182,49015,40813,71806,25870,65486,20232,40735,18398,36457,13343,35279,5918,22735,958,7053,0,0,0,0,0,0,20180603
201805,3호선,연신내,255,10,31502,2271,62124,16275,163075,34447,192956,42443,113258,46000,77145,40691,70113,40782,73945,45448,70804,51814,62788,56367,63896,66092,73820,82448,70488,98301,65855,151354,48916,152222,37827,99058,34084,90147,31019,86295,15927,60540,2686,20880,0,11,0,0,0,0,20180603
201805,3호선,구파발,136,8,10754,1938,33997,19125,97382,19732,91433,29602,51419,29702,34298,27361,30247,23504,30207,25176,31029,26118,28656,26586,30440,28953,40110,36833,42428,41617,35113,65257,24158,67421,19438,40169,16304,37985,14177,36423,4337,26666,577,9313,0,295,0,0,0,0,20180603
